3211,2022-01-22,Kec. Wado Ds. Cisurat Dsn. Cukang Galeuh,SUMEDANG,JAWA BARAT,1,,1,1,,0
3207,2022-01-22,Kec. Rancah Ds. Cileungsir,CIAMIS,JAWA BARAT,,,,1,,0
3208,2022-01-22,Kec. Ciwaru Ds. Sumberjaya,KUNINGAN,JAWA BARAT,,,,0,,0
3210,2022-01-22,Kec. Banjaran Ds. Cimeong,MAJALENGKA,JAWA BARAT,,,,1,,0
3309,2022-01-22,Kec. Sawit Ds. manjung Dkh. Sidodadi,BOYOLALI,JAWA TENGAH,,,,0,,0
3329,2022-01-23,Kec. Sirampong Ds. Manggis Dukuh Slawi,BREBES,JAWA TENGAH,,,,0,,0
5303,2022-01-23,Kec. Amarasi Ds. Oesena,KUPANG,NUSA TENGGARA TIMUR,,,,1,,0
3329,2022-01-23,Kec. Salem Ds. Bentarsari Kp. Pabelokan,BREBES,JAWA TENGAH,,,,0,,0
3210,2022-01-23,Kec. Rajagaluh Ds. Payung,MAJALENGKA,JAWA BARAT,,,,0,,0
3509,2022-01-23,Kec. Sumberbaru Ds. Jambesari,JEMBER,JAWA TIMUR,,,,10,,0
1801,2022-01-24,Kec. Way Tenong Ds.  Pura Laksana,LAMPUNG BARAT,LAMPUNG,1,,,0,,0
3205,2022-01-25,Kec. Garut Kota Ds. Sukanegla,GARUT,JAWA BARAT,,,,1,,0
3322,2022-01-25,Kec. Ungaran Timur Ds. Leyangan Ds. Lerep Ds. Sidosari Kec. Bergas Ds. Gebugan,SEMARANG,JAWA TENGAH,,,,3,,0
5204,2022-01-26,Kec. Sumbawa Ds. Uma Sima,SUMBAWA,NUSA TENGGARA BARAT,,,1,1,,0
3328,2022-01-26,Kec. Bunijaya Ds. Begawat,TEGAL,JAWA TENGAH,,,,0,,0
6504,2022-01-26,Kec. Lumbis Ogong Ds. Tambang Hulu,NUNUKAN,KALIMANTAN UTARA,,,,1,,0
6309,2022-01-27,Kec. Murung Pudak Kel. Belimbing Raya,TABALONG,KALIMANTAN SELATAN,,,,2,,0
3302,2022-01-27,Kec. Rowo Kele Ds. Giyanti,BANYUMAS,JAWA TENGAH,,,,2,,0
3509,2022-01-28,Kec. Ledokombo Ds. Sumberanget,JEMBER,JAWA TIMUR,,,,1,,0
3301,2022-01-28,Kec. Karangpucung Ds. Pamulihan,CILACAP,JAWA TENGAH,,,,0,,0
3301,2022-01-29,Kec. Wanareja Ds. Bantar,CILACAP,JAWA TENGAH,,,,0,,0
3329,2022-01-30,Kec.  Paguyangan Ds. Ragatunjung,BREBES,JAWA TENGAH,,,,0,,0
3208,2022-01-30,Kec. Ciwaru Ds. Sagaranten,KUNINGAN,JAWA BARAT,,,,3,,0
